Country Name,Country Code,score_pays
Denmark,DNK,0.6709989414573475
China,CHN,0.6576701715583219
Norway,NOR,0.6567713827227352
Netherlands,NLD,0.653959907189772
Iceland,ISL,0.6532430431177443
Sweden,SWE,0.6383987390387708
Australia,AUS,0.6290110604497545
Finland,FIN,0.6282206604649204
New Zealand,NZL,0.6203554990325442
Belgium,BEL,0.6193622387734807
